X;Y;ALUMÍNIO;Calcio;Potássio;Magnésio;Nitrogênio;Fósforo;pH;Carbono
-4861828.76;-2602693.37;0.02;0.94;15;0.28;0.03;17.41;5.5;3.1
-4861838.52;-2602690.34;0.00;0.5;12;0.2;0.01;11.42;6.35;1.3
-4861849.31;-2602684.98;0.00;1.22;22;0.44;0.03;18.16;6.19;3.76
-4861858.19;-2602680.36;0.00;1.53;50;0.63;0.06;24.63;5.93;5.38
-4861868.2;-2602676.63;0.00;1.44;19;0.54;0.05;21.09;5.77;4.9
-4861878.31;-2602672.85;0.00;1.27;48;0.56;0.04;10.61;6.34;3.7
-4861830.16;-2602703.12;0.04;0.89;15;0.26;0.04;18.91;5.33;4.6
-4861849.89;-2602695.44;0.02;0.63;6;0.2;0.02;23.68;5.83;2.56
-4861869.89;-2602687.21;0.05;0.54;7;0.15;0.02;6.38;5.11;3.16
-4861879.57;-2602682.7;0.02;1.12;14;0.33;0.04;17.48;5.32;5.02
-4861890.16;-2602679.1;0.04;1.03;9;0.2;0.04;9.65;5.12;5.5
-4861831.42;-2602713.94;0.09;0.79;22;0.12;0.04;6.52;5.2;4.9
-4861841.65;-2602710.02;0.18;0.9;18;0.15;0.05;9.92;4.78;4.9
-4861851.55;-2602705.64;0.00;1.48;13;0.66;0.05;255.84;6.52;4.24
-4861871.22;-2602698.12;0.00;0.97;66;0.43;0.04;57.02;6.52;3.7
-4861881.09;-2602694.1;0.09;0.41;9;0.23;0.07;7.2;5.14;4.3
-4861891.12;-2602689.87;0.38;1.22;26;0.31;0.1;2.03;4.59;7.9
-4861834.49;-2602724.84;0.12;0.84;12;0.13;0.08;10.2;4.9;6.1
-4861864.36;-2602712.33;0.11;0.68;14;0.21;0.05;14.69;5.35;4.24
-4861874.43;-2602707.96;0.31;0.39;14;0.06;0.06;9.58;4.85;4.12
-4861884.35;-2602704.17;0.19;0.57;18;0.09;0.05;4.61;5.08;4.3
-4861843.32;-2602730.89;0.14;0.28;11;0.08;0.03;4.89;5.1;2.5
-4861852.87;-2602727.28;0.15;1;26;0.21;0.05;6.52;5.19;4.3
-4861862.82;-2602722.62;0.1;1.07;20;0.22;0.08;6.11;5.34;5.98
-4861872.74;-2602718.65;0.18;0.71;21;0.21;0.07;3.52;5.19;5.5
-4861882.73;-2602714.18;0.1;1.02;36;0.54;0.07;6.66;5.3;6.04
-4861892.42;-2602710.98;0.09;0.85;34;0.26;0.05;6.52;5.02;3.1
-4861861.98;-2602734.32;0.06;1.23;39;0.48;0.08;8.36;5.48;0.34
-4861881.03;-2602725.52;0.13;0.84;26;0.33;0.07;7.41;5.02;4.95
-4861890.95;-2602720.93;0.03;0.89;18;0.33;0.05;4.61;5.45;4.35
-4861860.42;-2602744.31;0.00;1.75;15;0.59;0.06;10.74;6.53;5.01
-4861880.48;-2602735.92;0.03;0.56;40;0.26;0.04;5.29;5.37;1.95
-4861890.74;-2602731.95;0.00;1.06;16;0.43;0.06;8.9;5.93;4.95
-4861900.16;-2602727.11;0.02;0.89;30;0.31;0.06;12.17;5.68;4.95
-4861869.35;-2602750.62;0.03;0.7;39;0.35;0.04;9.79;5.37;3.75
-4861879.04;-2602746.59;0.02;1.29;19;0.58;0.05;12.38;5.56;5.79
-4861898.89;-2602738.97;0.02;2.5;78;0.86;0.07;20.21;5.38;5.55
-4861840.06;-2602699.89;0.04;0.65;15;0.3;0.03;9.72;5.35;3.1
-4861860.26;-2602690.31;0.01;0.92;10;0.31;0.03;12.03;5.8;3.04
-4861861.3;-2602701.31;0.00;0.72;13;0.3;0.03;29.94;5.89;3.7
-4861853.99;-2602716.76;0.17;0.17;7;0.04;0.02;4.75;4.95;3.1
-4861894.41;-2602700.8;0.03;0.92;42;0.21;0.05;6.04;5.73;4.3
-4861851.92;-2602738.37;0.06;1.81;44;0.56;0.12;6.93;5.11;5.5
-4861871.08;-2602729.61;0.06;1.04;20;0.43;0.07;4.07;5.25;4.3
-4861870.4;-2602740.58;0.03;1.65;48;0.76;0.09;6.45;5.52;7.95
-4861888.81;-2602742.89;0.03;1.38;20;0.53;0.06;15.51;5.66;6.75
